"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"3349",13.6,53.8,0,1,0,0,0,0,1,0,0,0.802083333333333,0.465789473684211
"4046",12.6,45,0,1,0,0,0,0,0,0,0,0.510416666666667,0.565789473684211
"2824",18.9,42.7,0,0,0,1,0,0,0,0,0,0.697916666666667,0.63421052631579
"1057",5,50.7,0,0,0,1,0,0,0,0,0,0.65625,0.0342105263157895
"2368",28.8,65.6,0,0,0,1,0,1,0,0,0,0.802083333333333,0.881578947368421
"1917",2.90000000000001,39.5,1,0,0,1,0,0,0,0,0,0.90625,0.0842105263157895
"1056",15.4,57.9,0,0,0,1,0,0,0,0,1,0.5,0.665789473684211
"2248",6.90000000000001,63.7,0,1,0,0,0,0,0,0,0,0.520833333333334,0.15
"3635",19.5,49,0,0,1,0,0,0,0,0,0,0.479166666666666,0.05
"3589",27.7,44.2,0,0,1,0,0,1,0,0,0,0.375,0.1
"1091",4.59999999999999,46.8,1,0,0,1,0,0,0,1,0,0.395833333333333,0.4
"1279",7.5,55.5,0,0,1,0,0,0,0,0,0,0.916666666666667,0.765789473684211
"3919",14.4,48.5,1,0,0,1,0,0,0,0,0,0.364583333333334,0.61578947368421
"2465",11.5,50,1,0,0,1,1,0,0,0,0,0.666666666666667,0.0842105263157895
"3725",13.2,65.3,1,0,1,0,0,0,0,0,0,0.166666666666666,0.7
"1854",14.2,57.3,0,0,0,1,0,0,0,0,0,0.166666666666666,0.134210526315789
"1616",8,31.7,0,0,0,1,0,0,0,0,0,0.65625,0.115789473684211
"2618",18.4,71.8,0,0,1,0,0,0,0,0,0,0.635416666666666,0.434210526315789
"605",24.5,54.5,0,0,1,0,0,0,0,0,0,0.34375,0.0342105263157895
"2274",5.7,53.8,0,1,0,0,0,0,1,0,0,0.552083333333333,0.384210526315789
"948",9.5,72.2,0,0,0,1,0,0,0,0,0,0.4375,0.565789473684211
"3818",24.2,60.8,0,0,0,1,0,0,0,0,0,0.885416666666667,0.1
"2386",4,44.7,1,0,1,0,0,0,0,0,0,0.166666666666666,0.665789473684211
"2043",11.1,47.2,0,1,0,0,0,0,0,1,0,0.46875,0.515789473684211
"1596",7.8,43.7,1,0,1,0,0,0,0,1,0,0.885416666666667,0.35
"3489",8.90000000000001,39.9,0,0,0,1,0,0,0,0,0,0.572916666666667,0.134210526315789
"1443",13.7,47.4,0,0,0,1,0,0,0,0,0,0.53125,0.2
"1142",12,64.4,1,0,1,0,0,0,0,1,0,0.197916666666667,0.781578947368421
"676",8.5,69.1,0,0,1,0,0,0,0,0,0,0.8125,0.315789473684211
"682",0.5,99.5,1,0,0,1,0,0,0,1,0,0.0312499999999997,0.731578947368421
"1908",14.3,68.5,0,0,1,0,0,0,0,0,0,0.427083333333333,0.0157894736842105
"1001",10.8,40.9,0,1,0,0,0,0,0,0,0,0.572916666666667,0.215789473684211
"856",1.09999999999999,46.4,1,0,0,1,0,0,0,0,0,0.1875,0.134210526315789
"2668",16.2,57.1,0,0,1,0,0,0,0,0,0,0.739583333333333,0.15
"4118",15.6,69,0,0,1,0,0,0,0,0,0,0.625,0.9
"2771",12.8,35.7,0,0,0,1,0,0,0,0,0,0.354166666666667,0.434210526315789
