"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"917",4.09999999999999,27.2,0,0,0,1,0,0,0,0,0,0.760416666666667,0.05
"918",12.5,42.3,0,1,0,0,0,0,0,0,0,0.645833333333333,0.55
"923",22,74.1,1,0,0,1,0,1,0,0,0,0.0416666666666665,0.5
"929",11.3,35.6,0,0,1,0,0,0,0,0,0,0.583333333333333,0.45
"932",8.90000000000001,44,0,0,0,1,0,0,0,0,0,0.364583333333334,0.265789473684211
"935",9.40000000000001,73.6,0,0,0,1,0,0,0,1,0,0.854166666666667,0.15
"936",10.7,47.6,0,0,0,1,0,0,0,0,0,0.229166666666666,0.05
"938",11.5,50,1,0,0,1,1,0,0,0,0,0.958333333333333,0.75
"939",14.1,28.3,0,0,1,0,0,0,0,0,0,0.302083333333333,0.0842105263157895
"943",25.3,34.4,0,0,0,1,0,0,0,0,0,0.166666666666666,0.3
"945",27.9,45.2,1,0,0,1,0,0,0,0,0,0.927083333333334,0.6
"951",26,29.6,0,0,1,0,0,1,0,0,0,0.604166666666667,0.665789473684211
"953",26.4,52,0,0,0,1,0,0,0,0,0,0.78125,0.265789473684211
"980",18.5,69.7,0,0,0,1,0,0,0,0,0,0.760416666666667,0.1
"982",14.6,66.8,0,0,0,1,0,0,0,0,0,0.677083333333334,0.35
"983",23.3,59.1,1,0,1,0,0,0,0,0,0,0.947916666666667,0.881578947368421
"991",10.4,41.5,0,1,0,0,0,0,0,0,0,0.864583333333334,0.831578947368421
"999",6.5,60.5,0,1,0,0,0,0,0,0,0,0.614583333333334,0.165789473684211
"1000",16,27,0,0,0,1,0,0,0,0,0,0.145833333333333,0.45
"1012",12.8,53,0,1,0,0,0,0,0,0,0,0.270833333333333,0.234210526315789
"1013",25.9,30.9,1,0,1,0,0,0,0,0,0,0.927083333333334,0.881578947368421
"1018",24.5,61.4,0,0,0,1,0,0,0,0,0,0.479166666666666,0.2
"1023",11.4,49.9,0,0,0,1,1,0,0,0,0,0.166666666666666,0.1
"1024",9.5,34.4,0,0,1,0,0,0,0,1,0,0.333333333333333,0.0842105263157895
"1028",21.4,68.8,0,0,0,1,0,0,0,0,0,0.1875,0.7
"1031",4.8,63.9,1,0,0,1,0,0,0,0,0,0.0416666666666665,0.15
"1034",4.3,55,1,0,1,0,0,0,0,1,0,0.864583333333334,0.165789473684211
"1036",16.4,58.5,0,0,1,0,0,0,0,0,0,0.666666666666667,0.15
"1038",15.1,58.1,0,1,0,0,0,0,0,0,0,0.239583333333333,0.63421052631579
"1040",4.7,66.7,0,0,1,0,0,0,0,0,0,0.802083333333333,0.334210526315789
"1044",7.3,42.3,1,0,0,1,0,0,0,0,0,0.84375,0.165789473684211
"1049",14.9,24,0,0,1,0,0,0,0,1,0,0.489583333333333,0.765789473684211
"1051",1.90000000000001,68.5,0,0,0,1,0,0,0,0,0,0.854166666666667,0.255263157894737
"1064",7.59999999999999,46.6,1,1,0,0,0,0,0,0,0,0.739583333333333,0.134210526315789
"1069",27.1,42.1,0,0,0,1,0,0,0,0,0,0.364583333333334,0.05
"1071",15.5,54.8,1,0,0,1,0,0,0,0,0,0.291666666666667,0.05
"1075",5,48.2,1,1,0,0,0,0,0,0,0,0.0729166666666663,0.0657894736842105
"1076",14.8,27,1,0,1,0,0,0,0,0,0,0.385416666666666,0.0657894736842105
"1080",28.9,53.6,0,0,0,1,0,0,0,1,0,0.0208333333333329,0.881578947368421
"1084",22.7,51.7,0,0,1,0,0,0,0,0,0,0.760416666666667,0.61578947368421
"1090",2.2,61.5,0,1,0,0,0,0,0,0,0,0.791666666666667,0.15
"1095",21.8,55.8,0,0,1,0,0,0,0,0,0,0.604166666666667,0.05
