"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"275",9.8,36.1,0,0,0,1,0,0,0,0,0,0.59375,0.25
"276",12.5,54.4,0,1,0,0,0,0,0,1,0,0.427083333333333,0.881578947368421
"277",12.5,49.8,0,0,0,1,0,0,0,0,0,0.34375,0.334210526315789
"278",8.5,58.3,1,0,1,0,0,0,0,0,0,0.59375,0.0157894736842105
"279",17.9,51.7,1,0,0,1,0,0,0,0,0,0.583333333333333,0.831578947368421
"280",9.40000000000001,54.4,0,1,0,0,0,0,0,0,0,0.333333333333333,0.45
"281",7.2,62.3,0,1,0,0,0,0,1,0,0,0.5,0.165789473684211
"282",20.5,69.9,0,0,0,1,0,0,0,0,0,0.0624999999999994,0.215789473684211
"283",5.59999999999999,53.7,1,1,0,0,0,0,1,0,0,0.270833333333333,0.234210526315789
"284",28,48.7,0,0,0,1,0,0,0,0,0,0.916666666666667,0.365789473684211
"285",12.3,71,0,0,0,1,0,0,0,0,0,0.6875,0.0157894736842105
"286",5.8,34,0,0,0,1,0,0,0,0,0,0.0312499999999997,0.75
"287",11.5,50,1,0,0,1,1,0,0,0,0,0.0312499999999997,0.0157894736842105
"288",27,49.6,0,0,1,0,0,0,0,0,0,0.0416666666666665,0.365789473684211
"289",2.90000000000001,45.6,0,0,0,1,0,0,0,0,0,0.15625,0.3
"290",8.09999999999999,53.3,0,0,1,0,0,0,0,0,0,0.677083333333334,0.0157894736842105
"291",3.3,56.7,1,0,0,1,0,0,0,0,0,0.0520833333333334,0.0842105263157895
"292",11.2,56.6,1,1,0,0,0,0,0,0,0,0.270833333333333,0.95
"293",7.09999999999999,57.4,0,0,0,1,0,0,0,0,1,0.614583333333334,0.0842105263157895
"294",17.9,30.9,0,0,0,1,0,0,0,0,0,0.8125,0.931578947368421
"295",8.5,50.1,1,1,0,0,0,0,0,0,0,0.197916666666667,0.1
"296",18.8,51.2,0,0,0,1,0,0,0,0,0,0.21875,0.315789473684211
"297",7.5,32.6,1,0,0,1,0,0,0,0,0,0.541666666666667,0.765789473684211
"298",7.5,53.4,1,0,0,1,0,0,0,0,0,0.364583333333334,0.5
"299",2.8,60.4,0,0,0,1,0,0,0,1,0,0.625,0.839473684210526
"300",57.1,3.9,0,0,0,1,0,0,0,0,0,0.333333333333333,0.134210526315789
"301",22.8,51,0,0,0,1,0,0,0,0,0,0.385416666666666,0.184210526315789
"302",23.1,53.1,0,0,0,1,0,0,0,0,0,0.84375,0.0657894736842105
"303",24.6,73.9,1,0,0,1,0,0,0,1,0,0.0624999999999994,0.181578947368421
"304",13.9,43.3,1,0,0,1,0,0,0,0,0,0.895833333333333,0.0342105263157895
"305",13.4,46.8,0,0,0,1,0,0,0,0,0,0.552083333333333,0.0657894736842105
"306",24.6,56.4,0,0,0,1,0,0,0,0,0,0.510416666666667,0.515789473684211
"307",13.1,53.2,1,0,0,1,0,0,0,0,0,0.916666666666667,0.0342105263157895
"308",17.5,10.7,1,0,0,1,0,0,0,0,0,0.937500000000001,0.75
"309",11,57.5,1,0,0,1,0,0,0,0,0,0.0729166666666663,0.334210526315789
"310",13.6,53.4,0,0,1,0,0,0,0,0,0,0.71875,0.434210526315789
"311",11.7,53.4,1,0,0,1,0,0,0,0,0,0.125,0.0342105263157895
"312",13.3,40.7,0,1,0,0,0,0,1,0,0,0.666666666666667,0.184210526315789
"313",7.7,42.3,1,0,0,1,0,0,0,0,0,0.4375,0.1
"314",11.3,46.8,0,0,0,1,0,0,1,0,0,0.489583333333333,0.931578947368421
"315",7.40000000000001,63.6,0,0,0,1,0,0,0,0,0,0.260416666666667,0.434210526315789
"316",12.1,40.7,0,0,0,1,0,0,0,0,0,0.5625,0.665789473684211
"317",8.40000000000001,51.1,1,0,1,0,0,0,0,0,0,0.677083333333334,0.534210526315789
