"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"108",12.1,33.6,1,0,0,1,0,0,0,0,1,0.979166666666667,0.1
"109",21.7,65.8,1,0,0,1,0,0,0,0,0,0.885416666666667,0.0342105263157895
"110",4.59999999999999,50.9,1,0,1,0,0,0,0,1,0,0.46875,0.839473684210526
"111",12.7,51.3,0,0,0,1,0,0,0,0,1,0.770833333333334,0.5
"112",21.2,38.8,1,0,0,1,0,0,0,0,0,0.114583333333333,0.681578947368421
"113",11.5,50,1,0,0,1,1,0,0,0,0,0.0624999999999994,0.265789473684211
"114",24.9,69,0,0,0,1,0,0,0,0,0,0.833333333333334,0.384210526315789
"115",23.1,67.8,0,0,0,1,0,0,0,0,0,0.53125,0.265789473684211
"116",8.40000000000001,56.7,0,0,0,1,0,0,0,0,0,0.708333333333333,0.284210526315789
"117",9.40000000000001,45.2,1,0,1,0,0,0,0,0,0,0.770833333333334,0.134210526315789
"118",17.9,27.5,0,0,0,1,0,0,0,0,0,0.375,0.415789473684211
"119",10.7,45.2,0,1,0,0,0,0,0,1,0,0.489583333333333,0.434210526315789
"120",9.2,59.4,1,0,0,1,0,0,0,0,0,0.1875,0.86578947368421
"121",12.4,46.4,1,0,0,1,0,0,0,0,0,0.458333333333333,0.0157894736842105
"122",20.3,31,0,0,1,0,0,0,0,0,0,0.1875,0.184210526315789
"123",13,49.6,0,0,0,1,0,0,0,0,0,0.541666666666667,0.0842105263157895
"124",11.5,50,1,0,1,0,1,0,0,0,0,0.927083333333334,0.35
"125",11.5,50,1,0,0,1,1,0,0,0,0,0.135416666666666,0.134210526315789
"126",20.9,35.2,0,0,0,1,0,0,0,0,0,0.635416666666666,0.45
"127",22.3,68.8,0,0,0,1,0,0,0,0,0,0.78125,0.05
"128",8.8,67,1,0,0,1,0,0,0,0,0,0.0416666666666665,0.134210526315789
"129",24.8,36.6,0,0,0,1,0,0,0,0,0,0.395833333333333,0.35
"130",12.5,44.9,0,1,0,0,0,0,0,0,0,0.520833333333334,0.6
"131",6.90000000000001,36.9,0,1,0,0,0,0,0,0,0,0.447916666666667,0.515789473684211
"132",19.3,48.8,1,0,1,0,0,0,0,0,1,0.885416666666667,0.215789473684211
"133",19.5,49.7,0,0,1,0,0,0,0,0,0,0.53125,0.215789473684211
"134",10,47.9,1,1,0,0,0,0,0,1,0,0.864583333333334,0.85
"135",26.2,73,0,0,1,0,0,0,1,0,0,0.541666666666667,0.86578947368421
"136",17.8,32.8,0,0,0,1,0,0,0,0,0,0.864583333333334,0.1
"137",18.7,43.9,1,0,0,0,0,0,0,0,0,0.937500000000001,0.1
"138",9.90000000000001,48.5,0,1,0,0,0,0,0,1,0,0.40625,0.35
"139",8.8,55.9,0,0,1,0,0,0,0,0,0,0.489583333333333,0.415789473684211
"140",23.9,36.1,0,0,1,0,0,1,0,0,0,0.0937499999999999,0.831578947368421
"141",22.6,44.4,0,0,1,0,0,0,0,0,1,0.1875,0.134210526315789
"142",11.5,50,0,0,1,0,1,0,0,0,0,0.947916666666667,0.134210526315789
"143",7.7,41.7,0,0,0,1,0,0,0,0,0,0.395833333333333,0.0657894736842105
"144",13.4,40.2,0,0,0,1,0,0,0,0,1,0.885416666666667,0.0157894736842105
"145",8.7,53,1,0,0,1,0,0,0,0,0,0.760416666666667,0.0157894736842105
"146",3.40000000000001,34.2,1,0,0,1,0,0,0,0,0,0.604166666666667,0.0157894736842105
"147",20.8,53.2,1,0,0,1,0,0,0,0,0,0.135416666666666,0.115789473684211
"148",10.1,48.5,0,1,0,0,0,0,1,0,0,0.114583333333333,0.8
"149",20,76.9,0,0,0,1,0,0,0,0,0,0.90625,0.0342105263157895
"150",22.7,25.8,0,0,1,0,0,0,0,0,0,0.34375,0.0157894736842105
"151",8.09999999999999,63.6,0,0,0,1,0,0,0,0,0,0.21875,0.0842105263157895
"152",10.5,47.1,0,1,0,0,0,0,0,0,0,0.916666666666667,0.465789473684211
"153",18.2,34.5,1,0,1,0,0,1,0,0,0,0.1875,0.681578947368421
"154",25.6,56.1,0,0,0,1,0,0,0,0,0,0.5,0.25
"155",3.5,44.7,1,0,0,1,0,0,0,0,0,0.427083333333333,0.6
"156",11.7,56.6,0,1,0,0,0,0,0,0,0,0.885416666666667,0.1
"157",3.3,29.6,0,0,0,1,0,0,0,0,0,0.229166666666666,0.334210526315789
"158",6.40000000000001,51.2,0,0,1,0,0,0,0,0,0,0.541666666666667,0.0157894736842105
"159",11.7,51.7,1,1,0,0,0,0,0,0,0,0.927083333333334,0.45
"160",11.4,70.2,0,1,0,0,0,0,0,0,0,0.322916666666666,0.265789473684211
"161",10.5,48.2,0,0,0,1,0,0,0,0,0,0.364583333333334,0.05
"162",20.5,39.4,0,0,0,1,0,0,0,0,0,0.927083333333334,0.284210526315789
"163",11.7,28.2,0,0,1,0,0,0,0,0,0,0.416666666666667,0.05
"164",23,39.7,0,0,1,0,0,0,0,0,0,0.8125,0.55
"165",23.1,21.5,0,0,1,0,0,0,0,0,0,0.145833333333333,0.184210526315789
"166",14.8,68.5,0,0,1,0,0,0,0,0,0,0.5625,0.0842105263157895
"167",22.4,50.7,0,0,1,0,0,0,0,0,0,0.1875,0.05
